집계구코드,net_node,classic_stops,thermal_stops,tarr
1104066010601,8498915641,33,22,33.33
1104066020006,3856575196,8,0,100.0
1104066020007,3856575201,10,0,100.0
1104066020004,11236756283,7,0,100.0
1104066020005,3856575373,9,0,100.0
1104066020002,3856575251,11,0,100.0
1104066020003,3856575357,10,0,100.0
1104066020001,3856575173,8,0,100.0
1104066020008,3856575391,10,0,100.0
1104066020101,3856575176,10,0,100.0
1104066030002,4179009475,20,9,55.0
1104066030001,2551966245,48,29,39.58
1104066030101,4179011715,40,24,40.0
1104067010001,2551966228,53,29,45.28
1104067010003,3854893920,58,30,48.28
1104067010002,2442109153,59,32,45.76
1104067010101,4652843025,50,26,48.0
1104067010102,4652843026,54,25,53.7
1104067020002,4179264084,48,28,41.67
1104067020003,3785495802,47,28,40.43
1104067020001,3714679940,47,28,40.43
1104067020006,9561832599,37,28,24.32
1104067020004,3846729630,49,31,36.73
1104067020005,9561832600,36,22,38.89
1104067020101,4179264077,48,30,37.5
1104067030009,4179264057,42,9,78.57
1104067030012,4664731636,49,27,44.9
1104067030011,3846729642,44,0,100.0
1104067030007,4148031678,49,22,55.1
1104067030006,601728846,20,0,100.0
1104067030005,8502320521,36,1,97.22
1104067030004,4179264043,30,0,100.0
1104067030003,795981867,12,0,100.0
1104067030002,4179264026,43,2,95.35
1104067030001,8502320522,35,0,100.0
1104067030008,4179264034,44,0,100.0
1104067030010,3846729653,42,4,90.48
1104067030201,8502294693,39,1,97.44
1104067030301,3846735369,40,2,95.0
1104067030401,4179264050,31,5,83.87
1104067030501,3846729644,35,5,85.71
1104067040006,4179349685,44,0,100.0
1104067040001,4179349666,44,2,95.45
1104067040002,4179354314,45,1,97.78
1104067040003,4179349663,38,2,94.74
1104067040004,4179265292,48,1,97.92
1104067040005,436823611,47,0,100.0
1104067040101,1855204526,42,2,95.24
1104067040201,4179349663,38,2,94.74
1104068010004,3846108111,22,15,31.82
1104068010006,3846108095,36,25,30.56
1104068010001,4179132967,21,13,38.1
1104068010003,12866013678,26,17,34.62
1104068010002,3846108101,23,15,34.78
1104068010005,3846108094,26,19,26.92
1104068010101,3846108095,36,25,30.56
1104068010103,2006019923,28,23,17.86
1104068010102,436855717,37,32,13.51
1104068010104,3846108094,26,19,26.92
1104068010201,3846108093,46,30,34.78
1104068010203,3846108099,41,29,29.27
1104068010202,4670268514,34,23,32.35
1104068010301,5856100565,36,19,47.22
1104068020002,3846107070,40,29,27.5
1104068020001,3785500256,25,24,4.0
1104068020101,9584243076,25,24,4.0
1104068020301,3846107080,30,23,23.33
1104068030003,3856575402,52,34,34.62
1104068030002,3856575400,57,32,43.86
1104068030001,3856575427,50,30,40.0
1104068030101,3856575398,57,32,43.86
1104068040001,9579795294,46,32,30.43
1104069010009,10246831341,6,0,100.0
1104069010008,4177457006,17,16,5.88
1104069010006,4177453108,16,14,12.5
1104069010001,4177445754,12,11,8.33
1104069010003,5977768718,16,1,93.75
1104069010002,4177456383,16,14,12.5
1104069010005,7856245543,10,10,0.0
1104069010004,4177445701,9,0,100.0
1104069010007,4177457002,17,0,100.0
1104069010012,4177453109,15,14,6.67
1104069010011,4177456380,17,15,11.76
1104069010014,5978080087,14,12,14.29
1104069010013,5935577739,12,0,100.0
1104069010010,4177445759,12,11,8.33
1104069010101,4177445735,12,11,8.33
1104069010102,2135106296,11,0,100.0
1104069010201,7856245589,16,15,6.25
1104069010202,7856245582,15,14,6.67
1104069020001,4177451183,14,1,92.86
1104069020004,5977768719,15,1,93.33
1104069020005,436821938,20,12,40.0
1104069020002,4177453103,18,0,100.0
1104069020003,4177453123,18,0,100.0
1104070010004,3800707877,8,7,12.5
1104070010001,9925220627,4,4,0.0
1104070010003,9925220556,5,5,0.0
1104070010002,4946570018,5,0,100.0
1104070020025,3800707857,8,5,37.5
1104070020022,3832604888,6,5,16.67
1104070020023,3832604919,6,5,16.67
1104070020020,3800708038,5,3,40.0
1104070020021,3800707859,7,5,28.57
1104070020008,3800707835,7,5,28.57
1104070020009,3800707934,7,5,28.57
1104070020016,2135060915,2,2,0.0
1104070020017,3800707971,6,5,16.67
1104070020014,3800707930,16,5,68.75
1104070020015,2135060915,2,2,0.0
1104070020012,11898016217,6,5,16.67
1104070020013,4173472990,6,5,16.67
1104070020010,3800707974,7,5,28.57
1104070020011,3832604886,6,5,16.67
1104070020024,3832604892,5,3,40.0
1104070020019,2135060890,3,0,100.0
1104070020018,3832604953,4,3,25.0
1104070020001,3832604940,6,5,16.67
1104070020006,2460191651,3,2,33.33
1104070020007,3832604884,6,3,50.0
1104070020004,3832604882,8,5,37.5
1104070020005,4173480350,8,5,37.5
1104070020002,3800707905,12,0,100.0
1104070020003,6856237218,1,1,0.0
1104070020301,3800707960,6,5,16.67
1104071010001,3832952799,37,27,27.03
1104071010002,9482027331,38,24,36.84
1104071010201,3832952799,37,27,27.03
1104071010303,8113837637,29,26,10.34
1104071010302,9739851483,33,25,24.24
1104071010305,9740314297,31,26,16.13
1104071010304,9739851477,36,24,33.33
1104071010307,9740314286,34,24,29.41
1104071010306,9740314274,36,23,36.11
1104071010301,9740314272,35,21,40.0
1104071020001,2135148783,20,19,5.0
1104071020002,8591832213,20,19,5.0
1104071020003,6040902785,16,15,6.25
1104071020103,8442360794,19,18,5.26
1104071020101,7301136002,18,17,5.56
1104071020106,9214740288,18,17,5.56
1104071020104,8357189273,18,17,5.56
1104071020105,6040903182,17,16,5.88
1104071020102,8442364517,20,19,5.0
1104071020204,6040903189,26,23,11.54
1104071020205,8615050366,20,19,5.0
1104071020202,8591866823,20,19,5.0
1104071020203,6040903176,27,25,7.41
1104071020201,8615050346,19,18,5.26
1104071020208,6040903221,19,18,5.26
1104071020206,6040903169,22,21,4.55
1104071020207,6040903219,23,21,8.7
1104071030001,8449830059,25,24,4.0
1104071040002,1717107900,51,26,49.02
1104071040003,9482859388,38,30,21.05
1104071040008,9481699343,40,29,27.5
1104071040009,1717108823,52,25,51.92
1104071040010,9525455020,39,0,100.0
1104071040011,4200572789,40,28,30.0
1104071040004,9610818527,39,31,20.51
1104071040005,1717101777,47,31,34.04
1104071040006,9522228571,44,31,29.55
1104071040007,1717099678,38,33,13.16
1104071040001,9663278533,47,29,38.3
1104071040301,9660991666,51,28,45.1
1104071040302,1717103349,49,28,42.86
1104072010013,4634839671,53,11,79.25
1104072010012,2718296805,48,7,85.42
1104072010015,3848968239,50,11,78.0
1104072010014,3848967999,49,0,100.0
1104072010017,3848968218,53,11,79.25
1104072010016,4634839671,53,11,79.25
1104072010009,3807096512,23,3,86.96
1104072010008,3848968635,51,11,78.43
1104072010001,3848968008,50,10,80.0
1104072010002,3848967848,43,2,95.35
1104072010003,3848967796,50,10,80.0
1104072010004,3848968382,50,0,100.0
1104072010005,4200916204,53,11,79.25
1104072010006,3848967772,46,9,80.43
1104072010007,3848968165,50,11,78.0
1104072010011,3848967988,47,10,78.72
1104072010010,3848967853,45,0,100.0
1104072010101,4200916232,46,10,78.26
1104072010103,3833145732,41,0,100.0
1104072010102,8200709456,44,9,79.55
1104072010104,4200916232,46,10,78.26
1104072010202,4200916228,52,11,78.85
1104072010201,8200709454,48,10,79.17
1104072010301,8200709454,48,10,79.17
1104072010302,2718296829,51,11,78.43
1104072010401,3848967982,45,8,82.22
1104072010402,3848968168,52,10,80.77
1104072010501,4200916245,51,9,82.35
