stop_id,stop_name,lat,lon,stop_type,node_id
BS_1100_103900139,금호역,37.54845,127.01685,bus,436827170
BS_1100_103900140,두산아파트정문.금호역,37.54851,127.01667,bus,436827170
BS_1100_103900141,화단삼거리,37.54822,127.01963,bus,3848966656
BS_1100_103900142,대우아파트관리실,37.54629,127.02024,bus,3807096290
BS_1100_103900143,대우아파트후문,37.54694,127.02166,bus,3807096288
BS_1100_103900144,대우아파트입구,37.54598,127.01916,bus,5062336386
BS_1100_103900145,힐스테이트서울숲리버,37.54674,127.02539,bus,4200477335
BS_1100_103900146,제일감리교회,37.54787,127.0269,bus,3807096506
BS_1100_103900147,GS주유소,37.54681,127.02513,bus,4200477335
BS_1100_103900148,삼성래미안아파트,37.54838,127.02756,bus,1665603597
BS_1100_103900149,극동아파트5동,37.54316,127.01108,bus,8213959289
BS_1100_103900150,옥수역,37.54148,127.01682,bus,8222978373
BS_1100_103900151,극동아파트상가,37.54291,127.01237,bus,4634187271
BS_1100_103900152,송정동현대아이파크아파트,37.55219,127.06862,bus,4177445999
BS_1100_103900153,금옥초등학교입구,37.54689,127.01972,bus,3807096283
BS_1100_103900154,왕십리광장.왕십리역7번출구,37.56105,127.03652,bus,8495328996
BS_1100_103900155,벽산아파트501동앞,37.55484,127.02548,bus,4646012762
BS_1100_103900156,벽산아파트505동앞,37.5544,127.02625,bus,4646012769
BS_1100_103900157,벽산아파트111동앞,37.55304,127.02688,bus,5062044540
BS_1100_103900158,벽산아파트206동앞,37.55215,127.02727,bus,8214316967
BS_1100_103900159,벽산아파트202동앞,37.55138,127.02725,bus,8214316983
BS_1100_103900160,벽산하이피아상가앞,37.5522,127.02564,bus,5062044532
BS_1100_103900161,우리은행.백범학원터,37.54818,127.02097,bus,3807096533
BS_1100_103900162,행당푸르지오아파트,37.55624,127.034,bus,4697491475
BS_1100_103900163,금호초등학교,37.55269,127.01949,bus,2718296799
BS_1100_103900167,래미안옥수리버젠아파트상가,37.54437,127.01573,bus,3851468298
BS_1100_103900169,옥수동주민센터.옥수동성당,37.54361,127.01402,bus,8213963866
BS_1100_103900170,삼성래미안아파트,37.56549,127.04028,bus,10857081083
BS_1100_103900171,중앙하이츠아파트,37.56499,127.03861,bus,2858053237
BS_1100_103900172,민자역사후문,37.56355,127.03863,bus,3832903580
BS_1100_103900173,한신아파트정문,37.55483,127.03538,bus,4687974649
BS_1100_103900174,한신아파트후문,37.55374,127.03707,bus,4636760125
BS_1100_103900175,광희중학교.응봉역,37.55191,127.03506,bus,10132261072
BS_1100_103900176,벽산아파트501동,37.55496,127.0255,bus,4646012770
BS_1100_103900177,벽산아파트505동,37.55432,127.02637,bus,4646012769
BS_1100_103900178,벽산아파트109동,37.55261,127.02737,bus,8214316974
BS_1100_103900179,벽산아파트107동,37.55169,127.02743,bus,10127697128
BS_1100_103900180,벽산노인정,37.55106,127.02685,bus,8214316994
BS_1100_103900181,벽산하이피아상가,37.55195,127.02595,bus,8489963348
BS_1100_103900182,금호고등학교앞,37.55298,127.02339,bus,436827110
BS_1100_103900184,금호정형외과,37.55409,127.02046,bus,3848968695
BS_1100_103900185,금호1가동주민센터,37.55473,127.02081,bus,8598787936
BS_1100_103900187,민자역사후문,37.56352,127.03832,bus,3832903576
BS_1100_103900188,중앙하이츠아파트,37.56525,127.0389,bus,3832903858
BS_1100_103900189,성동노인종합복지관,37.56521,127.04144,bus,2858053234
BS_1100_103900190,국민은행,37.5427,127.01222,bus,4634187271
BS_1100_103900191,국민은행,37.54278,127.01276,bus,4634187271
BS_1100_103900192,옥수동주민센터.옥수동성당,37.54324,127.01367,bus,8213963866
BS_1100_103900193,삼성아파트정문,37.54383,127.01529,bus,8488729629
BS_1100_103900195,대현산배수지공원앞,37.55518,127.02206,bus,8598787935
BS_1100_103900196,금북초등학교입구,37.55566,127.02362,bus,8142256160
BS_1100_103900197,텐즈힐아파트101동.115동,37.56695,127.02939,bus,8615050343
BS_1100_103900198,선영약국,37.56677,127.03077,bus,8332958002
BS_1100_103900199,왕십리중앙교회,37.57015,127.02656,bus,8374423624
BS_1100_103900200,텐즈힐아파트120동.213동앞,37.56892,127.02595,bus,7301135997
BS_1100_103900201,왕십리도선동주민센터,37.56771,127.02592,bus,11125409414
BS_1100_103900202,숭신초등학교.도선고등학교앞,37.56733,127.02717,bus,8451953552
BS_1100_103900203,마장2교사거리,37.56786,127.04535,bus,8497792064
BS_1100_103900204,마장2교사거리,37.56818,127.0456,bus,8497792056
BS_1100_103900207,청계장원아파트,37.56934,127.04485,bus,3832677140
BS_1100_103900208,청계장원아파트,37.56919,127.04482,bus,3832677140
BS_1100_103900209,옥수교회,37.5453,127.0159,bus,3807095991
BS_1100_103900210,텐즈힐아파트107동앞,37.56957,127.02851,bus,6040903176
BS_1100_103900211,마장동현대아파트,37.5701,127.04317,bus,9009916688
BS_1100_103900212,응봉동현대아파트,37.54986,127.03094,bus,4200524604
BS_1100_103900213,성수사거리,37.54238,127.06239,bus,4752138035
BS_1100_103900214,성수사거리,37.54278,127.06255,bus,9579799167
BS_1100_103900215,성수역4번출구,37.54462,127.055,bus,4752138030
BS_1100_103900216,논골.대림아파트107동.금호동벽산아파트,37.5559,127.02495,bus,436832366
