집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops
1104059030207,1266.5,127.02697175388204,37.55143721602141,265,178
1104059030205,57.5,127.02830380730444,37.5500963046935,273,162
1104059030204,46.8,127.02605720694342,37.55459343909667,276,198
1104059030203,9.9,127.02554724617777,37.554180523989814,276,198
1104059030202,244.4,127.02739906496944,37.550947251866155,276,180
1104059030201,528.9,127.02614174738078,37.552198165079666,274,174
1104059030213,394.9,127.02650766537228,37.55317319180003,263,181
1104059030212,8.7,127.02659080892444,37.55383158760176,270,191
1104059030209,20.2,127.02731366955726,37.552849356222886,278,185
1104059030208,272.6,127.02537454666738,37.55502075602306,296,207
1104059030211,486.8,127.02792852613828,37.552341976112615,262,178
1104059030210,1058.5,127.02839337927166,37.55121429502892,269,177
1104062010001,1452.5,127.0180083798173,37.54662486049356,234,163
1104062010003,43.1,127.01687478333724,37.54787853282521,234,166
1104062010002,943.9,127.02019691399582,37.54774085067784,240,171
1104062010004,313.5,127.01891110311924,37.54793032786091,240,175
1104062010101,273.8,127.01727719510532,37.547027067025994,231,163
1104062020002,5.8,127.01604165917718,37.54580756021818,190,92
1104062020001,864.9,127.0153505002506,37.54779178108751,222,83
1104062020201,1078.2,127.0158384672445,37.546793489565715,185,91
1104062030003,35.3,127.02247907338564,37.546927722909984,252,170
1104062030002,273.6,127.02081955692351,37.54719204190818,243,180
1104062030001,1163.0,127.0272636114248,37.54486403617943,266,0
1104062030109,180.4,127.02269368150404,37.54658121986081,255,159
1104062030108,284.9,127.02233379271463,37.54676611785129,255,161
1104062030107,0.8,127.02146943478824,37.546751862928474,245,179
1104062030106,273.7,127.02030099108184,37.54641397327467,240,174
1104062030105,301.3,127.0205902771114,37.54597479344353,187,86
1104062030104,115.0,127.01889588974149,37.546230670866045,235,135
1104062030103,527.0,127.01941370274592,37.54587431812781,235,135
1104062030102,32.5,127.01823453898298,37.54560109576545,230,113
1104062030101,318.2,127.0194003539591,37.545298494169856,203,96
1104062030205,130.9,127.02356293512686,37.544452362858166,257,133
1104062030204,250.3,127.02309874030804,37.54538971827812,245,122
1104062030203,22.3,127.02229171960632,37.54379822892348,250,129
1104062030202,1053.6,127.02077041345323,37.54393719190915,172,0
1104062030201,23.8,127.02214832504664,37.544994438938595,245,122
1104062030303,391.1,127.02404621149684,37.545557195115016,260,133
1104062030302,409.6,127.02392590941552,37.54634265374002,255,159
1104062030301,369.9,127.0239718038994,37.5470734145154,262,147
1104065010001,500.9,127.04997560880192,37.54129378014551,105,86
1104065010002,756.7,127.04988792750648,37.542404482189255,131,91
1104065010101,629.8,127.05042003896548,37.541971042565045,118,95
1104065010201,452.9,127.05000994338756,37.54057226572581,112,90
1104065020004,0.5,127.0449095201436,37.54184668783222,175,84
1104065020002,22.1,127.04708451452532,37.54210921370875,144,86
1104065020003,232.9,127.047992659485,37.543454191554474,139,89
1104065020001,1150.2,127.04559571720011,37.54456718694228,192,86
1104065020101,538.5,127.04599008157304,37.5429389923056,145,86
1104065020201,19.7,127.04646774387494,37.54471328548029,171,87
1104065020202,81.3,127.04572763956423,37.54413447468609,172,86
1104065020302,202.6,127.04535024390572,37.54205115174605,148,86
1104065020301,95.5,127.04656156260717,37.54156546612831,136,86
1104065030006,30.2,127.04751076624432,37.53586122962179,99,86
1104065030005,427.5,127.04885980482904,37.53511388907572,99,86
1104065030004,305.0,127.0480762620899,37.53830607049977,102,88
1104065030003,668.3,127.04989018320896,37.53763749487917,105,90
1104065030002,5.0,127.04614664949337,37.53612763184445,98,83
1104065030001,2295.3,127.03929282073044,37.54128206323307,153,0
1104065030101,169.6,127.04247354953682,37.545794921098334,220,69
1104065030201,2.2,127.04632964841092,37.53765362572675,98,84
1104065040004,132.2,127.04726117135324,37.540044671346635,109,86
1104065040005,31.5,127.0442321786519,37.540968548971335,154,83
1104065040001,78.6,127.04799470768224,37.5392610086722,106,85
1104065040002,480.6,127.05013192634726,37.538547121753766,107,90
1104065040003,396.4,127.05014344828884,37.53932704194098,107,90
1104065040101,1100.5,127.04502692005336,37.54003778575639,127,83
1104065040102,629.9,127.04569791103624,37.540508458672704,122,85
1104065040103,1736.4,127.04451720771203,37.54056196156142,154,83
1104065040201,456.5,127.04588830898632,37.54101977731413,150,85
1104065040202,352.8,127.04476349054649,37.54131398910735,155,84
1104066010003,560.4,127.04659284986708,37.55062405203698,235,83
1104066010002,30.7,127.04824210604444,37.54953887612787,211,94
1104066010005,28.3,127.04866819771064,37.55014338301212,209,91
1104066010004,70.2,127.0502670468629,37.54923480874102,177,98
1104066010007,20.5,127.04637247396477,37.5483031625958,216,92
1104066010006,992.0,127.04943290898532,37.547440694030165,167,97
1104066010009,457.1,127.04778848901532,37.551570020781405,237,89
1104066010008,856.5,127.05116835751726,37.55065894219968,188,96
1104066010010,36.8,127.04579156500276,37.54942649293482,219,85
1104066010001,85.6,127.0448916838176,37.55125675417231,254,1
1104066010104,272.9,127.04662871032276,37.549453288927396,216,86
1104066010101,80.4,127.04716871289338,37.54925153410999,197,86
1104066010103,638.6,127.0470475685329,37.550084703754486,220,85
1104066010102,110.0,127.04753891821036,37.54899087468355,200,87
1104066010201,5.6,127.05027883707112,37.54816713560343,162,98
1104066010202,7.1,127.05008179944176,37.54861961087392,166,97
1104066010401,1031.4,127.04897022872991,37.55084831794228,203,92
1104066010402,131.0,127.04807089278457,37.55088603301496,217,91
1104066010501,568.6,127.04905127883168,37.54766789482019,190,95
1104066010601,796.1,127.04757338023852,37.54778023969579,183,94
