집계구코드,net_node,classic_cnt,thermal_cnt,tarr,A_classic,A_thermal,A_loss,gravity_reduction
1104054040201,10857081033,69,31,55.07,140.70539790537416,44.94608241820462,95.75931548716954,68.05660401995998
1104054040301,3832903120,74,38,48.65,137.46653706884697,58.86595393604387,78.60058313280311,57.17797567959234
1104055010004,3832902772,86,37,56.98,158.71747453581827,59.14521032835295,99.57226420746531,62.73553967430002
1104055010001,3833006659,81,28,65.43,146.39233230810956,46.78511143925182,99.60722086885774,68.0412828311363
1104055010003,3832902822,86,37,56.98,159.3648271370273,60.11790255332908,99.24692458369822,62.27655522655719
1104055010002,3832903062,80,37,53.75,152.43699675850948,59.49856412835562,92.93843263015387,60.9684227624786
1104055010005,3832903091,78,36,53.85,152.52646124104234,59.12981029453041,93.39665094651193,61.233080598988174
1104055020009,6312216134,42,15,64.29,42.84318565067293,13.226571077299807,29.61661457337312,69.12794677514354
1104055020010,9809027078,56,27,51.79,86.52713110034232,34.97817304253096,51.548958057811355,59.57548505570113
1104055020011,4632551827,36,0,100.0,34.330794829832485,0.0,34.330794829832485,100.0
1104055020012,3832902845,68,0,100.0,109.09207386643232,0.0,109.09207386643232,100.0
1104055020006,1979127145,71,35,50.7,120.12878094261549,51.43926341813949,68.689517524476,57.17990059125665
1104055020007,3832902804,43,22,48.84,42.918455446310794,22.157718480500122,20.760736965810672,48.37251655475228
1104055020004,4197387980,48,0,100.0,46.117101898971036,0.0,46.117101898971036,100.0
1104055020005,3832902807,48,0,100.0,63.67214214388018,0.0,63.67214214388018,100.0
1104055020002,4735613805,35,15,57.14,34.19017099903833,14.056282241998378,20.13388875703995,58.887944016443384
1104055020003,1945254550,42,0,100.0,47.89815961022829,0.0,47.89815961022829,100.0
1104055020001,4197392026,49,0,100.0,49.910618912988184,0.0,49.910618912988184,100.0
1104055020014,3832897142,47,0,100.0,63.56064872846444,0.0,63.56064872846444,100.0
1104055020008,4197392022,48,24,50.0,65.36707074409549,29.608034245954254,35.75903649814123,54.704970088278415
1104055020201,4244222641,36,19,47.22,34.096957802719096,17.98476758893495,16.112190213784146,47.25404039564862
1104055020301,3928116185,48,20,58.33,49.674380552683736,19.692618269978716,29.98176228270502,60.35659015597973
1104055030002,6868623525,66,0,100.0,126.13834164533286,0.0,126.13834164533286,100.0
1104055030001,13551152965,76,0,100.0,143.34269173473,0.0,143.34269173473,100.0
1104055030103,9083531581,88,1,98.86,158.14096482516905,0.9643127674723773,157.17665205769669,99.3902194990789
1104055030102,9083521282,72,5,93.06,128.8994330714459,16.43015336790974,112.46927970353617,87.25350998339698
1104055030101,8332919083,96,10,89.58,171.0261053283664,28.231068394359376,142.79503693400704,83.49312326316715
1104056010001,9483618374,77,27,64.94,173.4771001198346,48.781567653060016,124.69553246677458,71.88011119660021
1104056010101,8431787751,87,28,67.82,174.47820473933223,49.73629452556611,124.74191021376612,71.49426508607687
1104056010103,8431787766,92,27,70.65,185.8975341039726,49.79923341055534,136.09830069341726,73.21146100695312
1104056010102,8431787733,98,32,67.35,188.94631555472182,54.161747248795514,134.7845683059263,71.33484868980713
1104056010201,3832676325,76,16,78.95,165.62387022833022,29.21358046748286,136.41028976084735,82.36149147631387
1104056020006,3833113907,102,21,79.41,172.8021695783967,45.07144664012839,127.73072293826831,73.91731437742139
1104056020004,1717109891,100,36,64.0,196.12093585350746,78.85364463472516,117.2672912187823,59.79335694501026
1104056020005,1717109884,104,35,66.35,196.3562099369529,76.97355776077646,119.38265217617644,60.79902042034141
1104056020002,3833114087,103,25,75.73,189.30888171350787,50.823934858837504,138.48494685467037,73.15290524205182
1104056020003,3833114367,93,35,62.37,196.21057040454824,76.2341356300744,119.97643477447383,61.146774369548815
1104056020001,3833114314,100,41,59.0,201.32416957869393,84.790993305297,116.53317627339693,57.883351272359896
1104056030007,3833006465,97,22,77.32,167.11003519714566,33.33385421881533,133.77618097833033,80.05275136260357
1104056030006,3833006533,99,13,86.87,182.70626767623708,33.18915130305493,149.51711637318215,81.83469471235247
1104056030004,9083531541,84,0,100.0,151.40265546623078,0.0,151.40265546623078,100.0
1104056030003,8495308966,87,19,78.16,153.27019147149264,25.33583359072732,127.93435788076532,83.46982322688646
1104056030002,4674043869,110,41,62.73,199.13878295842756,68.2494354599221,130.88934749850546,65.72770283819102
1104056030001,9083531539,79,0,100.0,138.16046124698872,0.0,138.16046124698872,100.0
1104056030108,2356306023,65,22,66.15,106.80850416047727,35.25303632614437,71.5554678343329,66.99416717494937
1104056030107,4636760143,67,20,70.15,104.73393137052874,27.588628695911858,77.14530267461689,73.6583661714096
1104056030106,4636760130,76,22,71.05,130.05291448456464,33.86169968936383,96.1912147952008,73.9631366020769
1104056030105,4636760151,78,26,66.67,131.94242999681572,43.20660089529391,88.7358291015218,67.25344463010371
1104056030104,4636760108,81,22,72.84,138.9481665084229,35.48538014226502,103.46278636615787,74.46142613179862
1104056030103,4655066614,83,22,73.49,144.855315253966,34.59632788089196,110.25898737307405,76.11663208889759
1104056030102,4636760136,61,19,68.85,93.87115361166266,25.72236984870782,68.14878376295485,72.59821696117726
1104056030101,4636760141,61,19,68.85,93.61039911194828,25.83336545688317,67.77703365506511,72.4033166165768
1104057010001,3833113924,95,22,76.84,160.35752638711313,46.71585903391264,113.64166735320049,70.86768542367159
1104057010003,3833114126,85,29,65.88,167.31075325816576,63.06730995408357,104.24344330408219,62.305285986747826
1104057010002,3833114080,78,30,61.54,147.90341089796533,57.25174790142426,90.65166299654106,61.29112401544226
1104057010115,4639723023,73,13,82.19,89.52506191185367,19.207540466611334,70.31752144524233,78.54506877021423
1104057010114,4637843584,80,17,78.75,100.60879220942076,27.583270042144136,73.02552216727662,72.58363862998317
1104057010117,7991097578,67,16,76.12,78.11317853916874,21.5258444669488,56.587334072219946,72.44274926521526
1104057010101,4640923221,70,15,78.57,82.94206768377698,20.818941457390984,62.123126226386,74.8994183063234
1104057010103,4639723022,73,15,79.45,89.03856555677227,20.656998931254314,68.38156662551796,76.79994191047125
1104057010102,4637843577,83,17,79.52,107.15080516459228,27.987018407444232,79.16378675714805,73.88072038800463
1104057010105,4640923237,79,15,81.01,96.34978375631832,20.972084545452773,75.37769921086554,78.23338701154326
1104057010104,4640923232,65,15,76.92,81.39041061816182,25.66418985969998,55.72622075846184,68.46779655640027
1104057010107,4639723023,73,13,82.19,89.52506191185367,19.207540466611334,70.31752144524233,78.54506877021423
1104057010106,4640923230,50,20,60.0,86.18614383765842,37.439086858893425,48.747056978764995,56.560201916662756
1104057010119,4640923239,84,16,80.95,105.33102114513689,22.339520480310874,82.99150066482602,78.79112892152733
1104057010118,4640923217,60,15,75.0,70.31392565998007,20.665162320349186,49.64876333963089,70.61014283247312
1104057010108,4640923242,72,13,81.94,86.12184511786195,18.342251074831513,67.77959404303044,78.70197619462374
1104057010109,4640923250,70,12,82.86,84.52125824238814,17.743742354399085,66.77751588798905,79.0067697483703
1104057010111,4639723025,90,21,76.67,131.63133607336127,36.56597889867651,95.06535717468475,72.22091639463612
1104057010112,4640923218,84,17,79.76,112.39884232357305,23.8390941960367,88.55974812753635,78.79062301423988
1104057010201,4640923225,55,16,70.91,64.86304147140821,21.27009836886148,43.59294310254673,67.20767653450633
1104057020002,3833147120,76,30,60.53,88.85674322878765,37.46224704441028,51.39449618437737,57.839725289106326
1104057020001,4697491689,90,36,60.0,136.29543751641043,57.18652997902404,79.10890753738639,58.042227222654766
1104057020104,4697513809,59,24,59.32,92.74231959436091,34.03917686796012,58.703142726400785,63.29703956420146
1104057020102,4697513812,56,24,57.14,87.86833123593433,33.55230099698041,54.31603023895393,61.81525183755968
1104057020103,4697514624,64,28,56.25,104.32976692478401,40.8921520603178,63.43761486446621,60.80490423236661
1104057020101,4697513793,64,28,56.25,104.14944813768355,40.82129918881074,63.32814894887281,60.805073940626386
1104057020202,4697491483,92,41,55.43,149.03990108038877,68.12345223138348,80.91644884900529,54.29180257262837
1104057020203,4697491486,81,36,55.56,114.80084211359936,50.96835121974483,63.832490893854526,55.602807190813195
1104057020201,4697491482,83,39,53.01,138.21042570250125,61.15551372477539,77.05491197772587,55.75188093522482
1104057020306,4646375973,84,20,76.19,120.96324209191738,31.184473758926504,89.77876833299088,74.21987603868116
1104057020307,8214317351,79,18,77.22,96.75259651107369,28.67293097039358,68.07966554068011,70.36469097021923
1104057020304,8214317346,73,15,79.45,86.41178421905859,25.78199527573852,60.629788943320065,70.1637970923274
1104057020305,8214317371,74,17,77.03,88.9967240266062,27.78786863809433,61.20885538851187,68.7765263923794
1104057020302,8214317294,88,23,73.86,109.01594220041567,34.662462675406324,74.35347952500933,68.20422593634736
1104057020303,8214317195,70,19,72.86,97.45232742137132,29.921672601037038,67.53065482033429,69.29609236354143
1104057020301,4646375977,100,20,80.0,141.52477370103125,32.19480054094856,109.32997316008269,77.2514735766619
1104057020312,8214317358,70,13,81.43,82.66737880271337,18.714581127717167,63.952797674996205,77.36158881681766
1104057020313,8214317350,72,13,81.94,85.25229524047847,18.97969271133764,66.27260252914084,77.73703023736782
