집계구코드,residential_pop,lon,lat,a_classic,a_thermal_h10,a_thermal_h13,a_thermal_h14,aal_h10,tarr_h10,aal_h13,tarr_h13,aal_h14,tarr_h14,category
1104056010101,203.9,127.03767110132054,37.55984991620436,249.5957,249.5957,130.3527,35.902,0.0,0.0,119.243,47.77,213.6937,85.62,moderate
1104056010103,691.3,127.03718442472776,37.56063458725755,249.079,249.079,133.6193,35.9917,0.0,0.0,115.4597,46.35,213.0873,85.55,moderate
1104056010102,270.1,127.03798575540053,37.559073168177115,263.06,263.06,146.7486,36.7024,0.0,0.0,116.3114,44.21,226.3576,86.05,moderate
1104056010201,5.5,127.03733304425214,37.56500547629556,197.1332,197.1332,116.8841,33.4928,0.0,0.0,80.2491,40.71,163.6404,83.01,moderate
1104056010202,4.2,127.03727688381974,37.5643693529961,205.794,205.794,137.7228,34.374,0.0,0.0,68.0712,33.08,171.42,83.3,moderate
1104056020006,199.9,127.03120654729578,37.558509303876846,261.1406,261.1406,185.0942,0.0,0.0,0.0,76.0464,29.12,261.1406,100.0,thermal_prone
1104056020004,239.7,127.03255622237268,37.56013138289478,249.3998,249.3998,184.5634,72.5519,0.0,0.0,64.8364,26.0,176.8479,70.91,thermal_robust
1104056020005,175.0,127.03165229981562,37.559948562219425,250.5854,250.5854,183.697,0.0,0.0,0.0,66.8884,26.69,250.5854,100.0,thermal_prone
1104056020002,3465.5,127.03302049797392,37.559328063023585,251.4495,251.4495,183.1351,0.0,0.0,0.0,68.3144,27.17,251.4495,100.0,thermal_prone
1104056020003,464.2,127.0342365336269,37.561519996739136,242.2404,242.2404,176.8418,78.4077,0.0,0.0,65.3986,27.0,163.8327,67.63,thermal_robust
1104056020001,404.2,127.03340158670456,37.56102862817154,247.0652,247.0652,180.9445,79.0668,0.0,0.0,66.1207,26.76,167.9984,68.0,thermal_robust
1104056030007,425.4,127.03619256062504,37.55755178382965,267.1904,267.1904,179.6586,0.0,0.0,0.0,87.5318,32.76,267.1904,100.0,thermal_prone
1104056030006,253.2,127.03709916899255,37.55835038028147,266.7822,266.7822,173.5474,57.3294,0.0,0.0,93.2348,34.95,209.4528,78.51,thermal_robust
1104056030005,544.6,127.03719638457294,37.55733863412541,269.546,269.546,176.9429,0.0,0.0,0.0,92.6031,34.36,269.546,100.0,thermal_prone
1104056030004,1086.0,127.03848245695195,37.55602497282823,250.8695,250.8695,146.5158,0.0,0.0,0.0,104.3537,41.6,250.8695,100.0,thermal_prone
1104056030003,253.5,127.03574436755162,37.556913078867424,261.5413,261.5413,174.6039,0.0,0.0,0.0,86.9374,33.24,261.5413,100.0,thermal_prone
1104056030002,9048.3,127.03513180274813,37.558687332236616,266.0362,266.0362,180.3423,83.3755,0.0,0.0,85.6939,32.21,182.6607,68.66,thermal_robust
1104056030001,651.9,127.03708380677472,37.556326101854104,245.4327,245.4327,142.9576,0.0,0.0,0.0,102.4751,41.75,245.4327,100.0,thermal_prone
