집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops,a_classic,a_thermal,aal,tarr,category
1104057010102,1295.4,127.0287037440166,37.55760436536085,295,231,245.4251,185.7097,59.7154,24.33,thermal_robust
1104057010105,374.9,127.0264022458408,37.55624558229662,293,209,242.2279,170.4036,71.8243,29.65,moderate
1104057010104,212.3,127.02786227401492,37.55938142739309,285,227,232.1286,180.0923,52.0363,22.42,thermal_robust
1104057010107,536.5,127.02545068037529,37.55727177949348,293,210,242.4396,172.5394,69.9002,28.83,moderate
1104057010106,836.4,127.02834265778772,37.55991316752317,283,228,229.1654,181.4804,47.685,20.81,thermal_robust
1104057010119,38.3,127.02745120637135,37.55680101697395,299,217,248.4612,176.9832,71.478,28.77,moderate
1104057010118,307.9,127.02832234803786,37.558870332695335,279,201,227.0573,160.8341,66.2232,29.17,moderate
1104057010108,786.7,127.02560158256632,37.55663201342095,281,205,231.5991,166.6104,64.9887,28.06,moderate
1104057010109,117.2,127.0264141407192,37.55699221051535,281,206,232.1018,167.4274,64.6744,27.86,moderate
1104057010111,24.6,127.02760655164624,37.55725288933834,307,229,255.9024,186.0422,69.8602,27.3,thermal_robust
1104057010110,161.4,127.02526124974963,37.55602661299926,289,209,239.5579,171.1925,68.3654,28.54,moderate
1104057010113,118.3,127.02700606017348,37.5593217879346,289,235,237.6268,187.4877,50.1391,21.1,thermal_robust
1104057010112,940.5,127.02737981335709,37.5577714307154,298,221,247.4151,179.0029,68.4122,27.65,moderate
1104057010201,591.9,127.02980227869452,37.55861817065451,279,201,226.5781,160.4648,66.1133,29.18,moderate
1104057020002,13.2,127.03031068802716,37.55442609687923,290,203,239.5335,159.4395,80.094,33.44,moderate
1104057020001,339.4,127.03264307735512,37.55739700021859,310,205,256.1781,171.0698,85.1083,33.22,moderate
1104057020104,625.2,127.0320213308072,37.55425982668655,307,198,245.7049,157.7032,88.0017,35.82,moderate
1104057020102,363.6,127.03219824228724,37.55355700828617,301,198,240.4911,156.6698,83.8213,34.85,moderate
1104057020103,642.4,127.03283809112634,37.55438323981688,319,212,258.8815,170.1363,88.7452,34.28,moderate
1104057020101,964.7,127.03383337317167,37.555002273032656,318,212,258.0527,169.9862,88.0665,34.13,moderate
1104057020202,648.3,127.03326415079444,37.555777306898094,325,218,268.5924,181.7488,86.8436,32.33,moderate
1104057020203,515.6,127.03164643869316,37.55467775066194,304,216,251.2395,173.6288,77.6107,30.89,moderate
1104057020201,10.7,127.0326436409888,37.55519340375085,317,217,261.293,179.442,81.851,31.33,moderate
1104057020306,210.8,127.030864315343,37.55612067156302,299,233,246.9719,187.6508,59.3211,24.02,thermal_robust
1104057020307,273.1,127.02680690590935,37.55487750602682,294,218,243.5952,179.2921,64.3031,26.4,thermal_robust
1104057020304,244.4,127.02617744172356,37.5551528149872,279,208,230.4686,170.2264,60.2422,26.14,thermal_robust
1104057020305,5.2,127.02845841896745,37.55602705247592,291,213,238.1869,172.5575,65.6294,27.55,moderate
1104057020302,6.2,127.02867827599574,37.55542131036787,293,233,244.4178,189.4767,54.9411,22.48,thermal_robust
1104057020303,20.5,127.03094471752688,37.5555156293687,293,228,240.0757,181.7652,58.3105,24.29,thermal_robust
1104057020301,1465.3,127.02993641547408,37.55627754625827,304,241,253.6545,195.9799,57.6746,22.74,thermal_robust
