집계구코드,tarr_35c,tarr_38c,tarr_41c
1104056030002,100.0,68.66,0.0
1104056030001,100.0,100.0,0.0
1104056030108,99.62,74.26,0.0
1104056030107,100.0,75.31,0.0
1104056030106,100.0,75.21,0.0
1104056030105,100.0,73.97,0.0
1104056030104,100.0,74.77,0.0
1104056030103,100.0,74.01,0.0
1104056030102,100.0,74.69,0.0
1104056030101,100.0,75.11,0.0
1104057010001,100.0,100.0,0.0
1104057010003,100.0,75.22,0.0
1104057010002,100.0,86.34,0.0
1104057010115,100.0,81.73,0.0
1104057010114,100.0,79.52,0.0
1104057010117,100.0,79.31,0.0
1104057010116,100.0,81.56,0.0
1104057010101,100.0,78.73,0.0
1104057010103,100.0,81.73,0.0
1104057010102,100.0,77.48,0.0
1104057010105,100.0,79.53,0.0
1104057010104,100.0,80.82,0.0
1104057010107,100.0,81.73,0.0
1104057010106,100.0,81.46,0.0
1104057010119,100.0,77.82,0.0
1104057010118,100.0,78.99,0.0
1104057010108,100.0,80.8,0.0
1104057010109,100.0,80.49,0.0
1104057010111,100.0,77.55,0.0
1104057010110,100.0,80.12,0.0
1104057010113,100.0,80.24,0.0
1104057010112,100.0,77.59,0.0
1104057010201,100.0,78.91,0.0
1104057020002,100.0,69.92,0.0
1104057020001,100.0,69.2,0.0
1104057020104,100.0,70.09,0.0
1104057020102,100.0,69.63,0.0
1104057020103,100.0,70.53,0.0
1104057020101,100.0,70.45,0.0
1104057020202,100.0,69.76,0.0
1104057020203,100.0,68.97,0.0
1104057020201,100.0,68.97,0.0
1104057020306,100.0,75.61,0.0
1104057020307,100.0,75.84,0.0
1104057020304,100.0,75.46,0.0
1104057020305,100.0,76.1,0.0
1104057020302,100.0,73.11,0.0
1104057020303,100.0,74.95,0.0
1104057020301,100.0,76.72,0.0
1104057020312,100.0,75.95,0.0
1104057020313,100.0,75.47,0.0
1104057020314,99.59,77.36,0.0
1104057020315,100.0,72.64,0.0
1104057020308,99.59,77.36,0.0
1104057020309,100.0,73.81,0.0
1104057020310,100.0,76.11,0.0
1104057020311,100.0,75.76,0.0
1104057020403,100.0,99.19,0.0
1104057020401,100.0,69.2,0.0
1104057020402,100.0,99.19,0.0
1104058010001,100.0,100.0,0.0
1104058010106,100.0,74.85,0.0
1104058010101,100.0,74.59,0.0
1104058010103,100.0,75.98,0.0
1104058010102,100.0,77.28,0.0
1104058010105,100.0,75.37,0.0
1104058010104,100.0,74.62,0.0
1104058010107,100.0,76.03,0.0
1104058010201,100.0,77.38,0.0
1104058010202,99.61,77.27,0.0
1104058020004,100.0,70.58,0.0
1104058020005,99.62,71.55,0.0
1104058020002,100.0,72.52,0.0
1104058020003,99.2,71.98,0.0
1104058020001,100.0,73.2,0.0
1104058020102,100.0,97.06,0.0
1104058020101,100.0,96.67,0.0
1104058020201,100.0,79.3,0.0
1104058020202,100.0,73.67,0.0
1104058020203,100.0,74.63,0.0
1104058020304,100.0,100.0,0.0
1104058020302,100.0,100.0,0.0
1104058020303,100.0,100.0,0.0
1104058020301,100.0,100.0,0.0
1104058030003,100.0,100.0,0.0
1104058030002,100.0,100.0,0.0
1104058030001,100.0,100.0,0.0
1104058030105,100.0,99.21,0.0
1104058030104,100.0,99.19,0.0
1104058030103,100.0,96.89,0.0
1104058030102,100.0,99.24,0.0
1104058030101,100.0,99.18,0.0
1104058030106,100.0,99.26,0.0
1104059010001,99.18,95.21,0.0
1104059020004,100.0,98.76,0.0
1104059020005,100.0,94.64,0.0
1104059020002,100.0,99.51,0.0
1104059020003,100.0,99.52,0.0
1104059020001,99.59,98.78,0.0
1104059020301,100.0,95.01,0.0
1104059030002,100.0,71.82,0.0
1104059030001,100.0,100.0,0.0
1104059030103,100.0,100.0,0.0
1104059030102,100.0,100.0,0.0
1104059030101,98.76,98.76,0.0
1104059030207,100.0,78.6,0.0
1104059030205,100.0,82.11,0.0
1104059030204,100.0,84.75,0.0
1104059030203,100.0,84.75,0.0
1104059030202,100.0,79.62,0.0
1104059030201,100.0,82.47,0.0
1104059030213,100.0,84.54,0.0
1104059030212,100.0,83.18,0.0
1104059030209,99.56,79.5,0.0
1104059030208,99.6,85.58,0.0
1104059030211,100.0,80.19,0.0
1104059030210,100.0,79.0,0.0
1104062010001,100.0,100.0,0.0
1104062010003,100.0,100.0,0.0
