u,v,svf,mean_bld_H,road_W,HW_ratio,canopy_ratio,highway
436849851,9083521240,0.4472,12.0,6.0,2.0,0.0,residential
436851624,3846108102,0.5433,9.3,6.0,1.55,0.0,residential
436851624,3856575454,0.2788,20.7,6.0,3.45,0.0,residential
436851624,5856100565,0.5204,14.8,9.0,1.644,0.0,tertiary
436855548,3833006523,0.5215,9.8,6.0,1.633,0.0,residential
436855548,3833006663,0.7071,9.0,9.0,1.0,0.0,tertiary
436855548,7991371410,0.7474,8.0,9.0,0.889,0.0,tertiary
436855548,3833006528,0.4116,13.3,6.0,2.217,0.0,residential
436855716,4752138031,0.8539,7.3,12.0,0.608,0.0,secondary
436855716,9579799124,0.6247,11.2,9.0,1.244,0.0,tertiary
436855716,9994427111,0.8716,6.8,12.0,0.567,0.0,secondary
436855717,9579799144,0.4258,12.8,6.0,2.133,0.0,residential
436855717,9579799141,0.6508,10.5,9.0,1.167,0.0,tertiary
436855717,3846108095,0.255,22.8,6.0,3.8,0.0,residential
436855717,2006019923,0.4961,15.8,9.0,1.756,0.0,tertiary
436855768,9040007315,1.0,0.0,16.0,0.0,0.0,primary
436855768,436855784,1.0,0.0,6.0,0.0,0.0665,secondary_link
436855768,8952652869,1.0,0.0,16.0,0.0,0.0558,primary
436855774,9040007313,1.0,0.0,16.0,0.0,0.0,primary
436855774,8952652906,1.0,0.0,16.0,0.0,0.146,primary
436855782,436855783,0.4997,15.6,9.0,1.733,0.0,tertiary
436855782,3856575175,0.5021,15.5,9.0,1.722,0.0,tertiary
436855782,3856575169,0.5722,8.6,6.0,1.433,0.0,residential
436855783,11236756556,0.4191,19.5,9.0,2.167,0.0,tertiary
436855783,3856575166,0.4961,10.5,6.0,1.75,0.0,residential
436855784,11236756294,0.3511,24.0,9.0,2.667,0.0006,tertiary
436855784,8952652869,1.0,0.0,6.0,0.0,0.0745,secondary_link
436864103,9369012512,0.7071,9.0,9.0,1.0,0.0,tertiary
436864103,3832974019,1.0,0.0,16.0,0.0,0.0,primary
436864103,8829144789,1.0,0.0,6.0,0.0,0.0,tertiary_link
436864103,8829144788,1.0,0.0,8.0,0.0,0.0,primary_link
436864103,8829144792,1.0,0.0,16.0,0.0,0.0,primary
436864103,3833006666,0.8716,9.0,16.0,0.562,0.0,primary
436864103,3958200048,1.0,0.0,16.0,0.0,0.0,primary
436864111,9481381143,0.1871,31.5,6.0,5.25,0.0,residential
436864111,8615050157,0.4895,28.5,16.0,1.781,0.0,primary
436864111,9522228563,0.1601,37.0,6.0,6.167,0.0,residential
436864111,11125409471,0.6556,18.4,16.0,1.15,0.0,primary
436864114,11125407477,0.3162,9.0,3.0,3.0,0.0,footway
436864114,8615050152,0.3162,9.0,3.0,3.0,0.0,footway
436864114,11127349722,0.8944,8.0,16.0,0.5,0.0,primary
436864114,11127349744,0.8716,9.0,16.0,0.562,0.0,primary
436864117,11125407500,0.8309,10.7,16.0,0.669,0.0021,primary
436864117,436864119,0.8,12.0,16.0,0.75,0.0217,primary
436864117,8615050151,0.2964,9.7,3.0,3.233,0.0,footway
436864117,11125407487,0.2425,12.0,3.0,4.0,0.0119,footway
436864119,8615050133,0.1322,45.0,6.0,7.5,0.0007,residential
436875068,9925220037,0.4061,13.5,6.0,2.25,0.0,residential
436875068,10708070993,0.4961,28.0,16.0,1.75,0.0,primary
436875068,10708182310,0.4207,34.5,16.0,2.156,0.0,primary
436875082,12389319208,1.0,0.0,16.0,0.0,0.0,primary
436879840,3807095859,0.5812,12.6,9.0,1.4,0.0,tertiary
436879840,3807095864,0.6508,10.5,9.0,1.167,0.0,tertiary
436879840,3807095864,0.4913,10.6,6.0,1.767,0.0,residential
436880740,8497761837,0.7593,7.7,9.0,0.856,0.0,tertiary
436880740,3832676347,0.8944,6.0,12.0,0.5,0.0,secondary
600372011,601728804,0.7948,7.6,10.0,0.76,0.0761,trunk_link
600372030,1855204529,0.7348,7.4,8.0,0.925,0.0,primary_link
600372030,7856245753,0.6727,6.6,6.0,1.1,0.0477,residential
600372044,601728846,1.0,0.0,10.0,0.0,0.0,trunk_link
601728802,7856245753,0.7593,5.1,6.0,0.85,0.2164,residential
601728802,13075565543,0.6122,7.8,6.0,1.3,0.3077,residential
601728804,13075565543,0.5098,10.1,6.0,1.683,0.3472,residential
601728804,9570235465,0.6247,7.5,6.0,1.25,0.351,residential
601728823,7856245736,0.6644,9.0,8.0,1.125,0.0,primary_link
601728823,601728826,0.6925,8.3,8.0,1.038,0.0086,primary_link
601728823,1855204529,0.5547,12.0,8.0,1.5,0.0,primary_link
601728826,601728849,1.0,0.0,16.0,0.0,0.0,primary
601728826,9567413792,0.8,12.0,16.0,0.75,0.0,primary
601728846,601728847,1.0,0.0,10.0,0.0,0.0,trunk_link
601728846,4954481207,1.0,0.0,3.0,0.0,0.0,footway
601728847,601728849,1.0,0.0,16.0,0.0,0.0,primary
601728849,601728873,0.8854,5.2,10.0,0.52,0.2484,trunk_link
601728852,3991862871,0.8539,9.8,16.0,0.613,0.0,primary
601728852,601728853,0.5882,11.0,8.0,1.375,0.0,primary_link
601728852,9567413792,0.824,11.0,16.0,0.688,0.0,primary
601728853,9567413790,0.6247,10.0,8.0,1.25,0.0,primary_link
601728853,9567413792,0.2676,10.8,3.0,3.6,0.0,footway
601728853,7856245708,0.28,10.3,3.0,3.433,0.0,footway
614825707,732245019,1.0,0.0,10.0,0.0,0.0,trunk_link
614825743,9577113365,1.0,0.0,10.0,0.0,0.004,"['trunk_link', 'primary']"
614825753,732244691,1.0,0.0,10.0,0.0,0.0,trunk_link
614825764,732065986,1.0,0.0,10.0,0.0,0.0,trunk_link
614825764,732065742,1.0,0.0,24.0,0.0,0.0567,trunk
614825764,732065962,1.0,0.0,10.0,0.0,0.0,"['trunk_link', 'trunk']"
732065564,732066125,1.0,0.0,10.0,0.0,0.0,trunk_link
732065564,732244289,1.0,0.0,10.0,0.0,0.1176,trunk_link
732065564,732065682,1.0,0.0,10.0,0.0,0.2179,trunk_link
732065682,732066322,1.0,0.0,24.0,0.0,0.0734,trunk
732065682,732065986,1.0,0.0,10.0,0.0,0.1016,trunk_link
